iso3,year,country,pm25,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
DNK,2018,Denmark,12.222,589193.02773,2.5032376064727235,13.286509130048458
DNK,2019,Denmark,10.242,537397.15623,2.3264969130403585,13.194492683430138
ESP,2010,Spain,9.866119402985074,3786006.37953,2.2891066052099394,15.146822295781682
ESP,2011,Spain,12.792222222222222,3789379.04123,2.5488373473493535,15.14771272227103
ESP,2012,Spain,12.597142857142858,3716091.3244499997,2.5334700308744784,15.12818295462303
ESP,2013,Spain,8.446447368421053,3393254.1603099997,2.1337459231910496,15.037299948214127
ESP,2014,Spain,8.469135802469136,3394730.25855,2.1364284730534466,15.03773486325582
ESP,2015,Spain,9.496781609195402,3511108.93605,2.25095296322884,15.071442481741299
ESP,2016,Spain,8.35840909090909,3384793.72324,2.123268108856751,15.034803523990151
ESP,2017,Spain,9.550217391304347,3535788.68318,2.256563917720921,15.078446939409762
ESP,2018,Spain,9.016129032258064,3472789.45614,2.1990150881100075,15.060468706836444
ESP,2019,Spain,8.96968085106383,3273176.60363,2.19385009584619,15.001271509751453
EST,2010,Estonia,7.726666666666667,222649.12443,2.044677549243496,12.313352378247169
EST,2013,Estonia,6.645714285714286,265963.46523000003,1.8939721785951504,12.491114229571233
EST,2014,Estonia,7.508571428571429,262601.41413,2.016045225121042,12.478392625946768
EST,2015,Estonia,6.362,230862.20989,1.8503427933269523,12.349576317547934
EST,2016,Estonia,5.204285714285715,259199.84464,1.6494824619651591,12.465354644077362
EST,2017,Estonia,4.55,274523.58127,1.5151272329628591,12.522792442507928
EST,2018,Estonia,6.095714285714286,279653.38517,1.8075859481445953,12.541306205200605
EST,2019,Estonia,4.5975,207510.74401,1.5255126774963392,12.242938395673884
FIN,2010,Finland,8.529166666666667,862256.91674,2.143491662319298,13.66730855250075
FIN,2013,Finland,6.407692307692307,761271.9808,1.8574991917112602,13.542745972203502
FIN,2014,Finland,7.609285714285714,706223.88985,2.0293693060078475,13.467687590635482
FIN,2015,Finland,5.699285714285714,706377.66902,1.740340853704931,13.467905315399612
FIN,2016,Finland,5.727142857142858,784706.94357,1.7452167775991023,13.573065606770184
FIN,2017,Finland,4.5128571428571425,786245.53392,1.5069304657586804,13.57502440675172
FIN,2018,Finland,6.016923076923077,884806.80802,1.7945760118658314,13.693124604137424
FIN,2019,Finland,5.308333333333334,813601.23544,1.6692779127901174,13.609225642201077
FRA,2010,France,17.74651515151515,5443267.41939,2.876189167154163,15.509890067091321
FRA,2014,France,9.02,4783181.65878,2.199444334074532,15.3806165020332
FRA,2015,France,12.745564516129033,4868261.79084,2.545183329991853,15.39824750954826
FRA,2016,France,11.573565217391305,4939329.97095,2.4487236369882375,15.412740246554131
FRA,2017,France,10.9672,5029947.14019,2.3949090001395534,15.430920033112153
FRA,2018,France,10.373615384615384,4737400.7356,2.3392656003060557,15.370999175245652
FRA,2019,France,9.418161764705882,4660745.67182,2.242639927794675,15.354686008712745
GRC,2010,Greece,14.86,1355334.68096,2.698673039289613,14.119558978815647
GRC,2013,Greece,10.02,1163158.96927,2.3045830956567186,13.966650111127901
GRC,2015,Greece,18.845,1071502.48471,2.9362476267190987,13.884572412801154
GRC,2016,Greece,17.05142857142857,1022951.54843,2.836233987400137,13.838202681573623
GRC,2017,Greece,16.45875,1074609.4472999999,2.8008572506884164,13.8874678486955
GRC,2018,Greece,16.599999999999998,1031902.93591,2.8094026953624973,13.846915166249483
GRC,2019,Greece,16.838,956344.9875,2.8236382369154724,13.770873992522986
HRV,2013,Croatia,23.005,252787.15945,3.135711583607432,12.440303146649942
HRV,2014,Croatia,20.036666666666665,244612.38206,2.9975639283829607,12.407430122622005
HRV,2015,Croatia,15.60625,254743.9113,2.747671475045946,12.448014050112397
HRV,2016,Croatia,17.274444444444445,259743.62813,2.84922820962543,12.467450377880994
HRV,2017,Croatia,15.549000000000001,276960.39494,2.743996327875679,12.53162979639111
HRV,2018,Croatia,15.6775,261317.09366,2.752226563435039,12.473489867126423
HRV,2019,Croatia,13.715,263140.46898,2.6184901243895666,12.480443271163434
HUN,2010,Hungary,21.6425,796711.9175399999,3.0746589741077917,13.588248433885925
HUN,2013,Hungary,17.023333333333333,707299.95077,2.834584951991443,13.469210113421365
HUN,2014,Hungary,15.8525,703482.0485800001,2.7633272165920495,13.46379763791179
HUN,2016,Hungary,10.13,755186.29482,2.315501318260592,13.534719745899816
HUN,2017,Hungary,14.85,777278.68197,2.6979998652487085,13.563554229099262
HUN,2018,Hungary,18.578333333333333,782475.09657,2.9219960271734773,13.570217375420356
HUN,2019,Hungary,14.804285714285713,777813.28333,2.694916714140813,13.564241778637154
IRL,2010,Ireland,11.46,672752.29301,2.4388627112865935,13.419132476996573
IRL,2013,Ireland,10.876000000000001,612359.37719,2.3865585267702243,13.325074606780376
IRL,2014,Ireland,7.57,614506.98412,2.0241930674493576,13.328575573456593
