country,year,pm25,iso3,total_emissions_kt,ln_pm25,ln_total_emissions_kt
Germany,2015,12.6825,DEU,885486.29,2.5402230904587078,13.693892253307075
Germany,2016,12.198529411764707,DEU,884832.4,2.5013154044543926,13.693153527524615
Germany,2017,12.078344827586207,DEU,870877.59,2.491414165534979,13.677256706348379
Germany,2018,12.579533333333334,DEU,838514.26,2.532071154664775,13.639386866660123
Germany,2019,10.363333333333333,DEU,787811.41,2.338273935402553,13.577014012785474
Greece,2010,14.86,GRC,115767.71,2.698673039289613,11.659340962404672
Greece,2013,10.02,GRC,101240.12,2.3045830956567186,11.52525039996061
Greece,2015,18.845,GRC,91712.31,2.9362476267190987,11.426411891328677
Greece,2016,17.05142857142857,GRC,88202.62,2.836233987400137,11.38739194676911
Greece,2017,16.45875,GRC,92000.0,2.8008572506884164,11.429543856031177
Greece,2018,16.599999999999998,GRC,87912.01,2.8094026953624973,11.384091706876868
Greece,2019,16.838,GRC,80752.83,2.8236382369154724,11.29914828691042
Hungary,2010,21.6425,HUN,61701.81,3.0746589741077917,11.03006854495753
Hungary,2013,17.023333333333333,HUN,54588.35,2.834584951991443,10.907575769003017
Hungary,2014,15.8525,HUN,53890.69,2.7633272165920495,10.894713014705287
Hungary,2016,10.13,HUN,58134.73,2.315501318260592,10.970518526729663
Hungary,2017,14.85,HUN,59707.64,2.6979998652487085,10.997215264392151
Hungary,2018,18.578333333333333,HUN,60222.04,2.9219960271734773,11.005793677250727
Hungary,2019,14.804285714285713,HUN,59383.73,2.694916714140813,10.991775562107806
Iceland,2010,7.735,ISL,14502.59,2.0457554840250296,9.582082533147545
Iceland,2014,7.640000000000001,ISL,14216.59,2.0333976031784293,9.562164871505638
Iceland,2015,6.43,ISL,14278.56,1.860974538249528,9.566514390472712
Iceland,2016,6.695,ISL,14191.99,1.9013609791431358,9.56043299992679
Iceland,2017,5.2,ISL,14235.97,1.6486586255873816,9.563527139294342
Iceland,2018,4.333333333333333,ISL,14280.12,1.466337068793427,9.566623639219612
Iceland,2019,3.9879999999999995,ISL,14134.23,1.3832898520995918,9.556354793935718
Ireland,2010,11.46,IRL,70087.95,2.4388627112865935,11.157506160957062
Ireland,2013,10.876000000000001,IRL,66001.27,2.3865585267702243,11.097429263247673
Ireland,2014,7.57,IRL,65047.68,2.0241930674493576,11.08287581843147
Ireland,2015,7.025999999999999,IRL,67983.44,1.949617553843635,11.127019425088376
Ireland,2016,8.866666666666667,IRL,69041.82,2.1822989271195437,11.1424676869394
Ireland,2017,7.332857142857143,IRL,70863.39,1.9923652275168984,11.168509218087998
