country,year,pm25,iso3,yll_asmr,diff,ln_pm25,ln_yll
Madagascar,2019.0,19.0,MDG,5.42,0.0,2.9444389791664403,1.6900958154515549
Madagascar,2020.0,32.0,MDG,72.69,0.0,3.4657359027997265,4.286203823496544
Malaysia,2010.0,21.0,MYS,2.35,0.0,3.044522437723423,0.8544153281560676
Malaysia,2010.0,15.0,MYS,2.35,2.0,2.70805020110221,0.8544153281560676
Malaysia,2019.0,20.966874999999998,MYS,1.83,0.0,3.0429438113959146,0.6043159668533296
Malta,2010.0,14.983333333333333,MLT,0.11,0.0,2.7069384722495196,-2.2072749131897207
Malta,2010.0,13.209999999999999,MLT,0.11,3.0,2.580974118534234,-2.2072749131897207
Malta,2019.0,11.8725,MLT,0.27,3.0,2.47422480144114,-1.3093333199837622
Malta,2019.0,11.64,MLT,0.27,2.0,2.454447442303292,-1.3093333199837622
Malta,2019.0,12.08125,MLT,0.27,1.0,2.491654663974504,-1.3093333199837622
Malta,2019.0,11.8,MLT,0.27,0.0,2.468099531471619,-1.3093333199837622
Mexico,2010.0,22.677142857142858,MEX,1.04,0.0,3.121357494607416,0.03922071315328133
Mexico,2010.0,26.82,MEX,1.04,1.0,3.2891478778535324,0.03922071315328133
Mexico,2010.0,23.88272727272727,MEX,1.04,2.0,3.173155489403872,0.03922071315328133
Mexico,2010.0,25.502727272727274,MEX,1.04,3.0,3.2387853983170944,0.03922071315328133
Mexico,2019.0,22.247142857142855,MEX,20.46,3.0,3.102213589451934,3.0184717605234805
Mexico,2019.0,22.0,MEX,20.46,2.0,3.091042453358316,3.0184717605234805
Mexico,2019.0,20.1492,MEX,20.46,1.0,3.003164585371287,3.0184717605234805
Mongolia,2010.0,46.03333333333333,MNG,7.94,0.0,3.8293657717471365,2.0719132752590443
Mongolia,2010.0,132.0,MNG,7.94,1.0,4.882801922586371,2.0719132752590443
Mongolia,2010.0,106.0,MNG,7.94,2.0,4.663439094112067,2.0719132752590443
Mongolia,2010.0,72.06,MNG,7.94,3.0,4.277499105319947,2.0719132752590443
Mongolia,2019.0,79.02,MNG,3.29,3.0,4.369700984983244,1.1908875647772805
Mongolia,2019.0,86.0,MNG,3.29,2.0,4.454347296253507,1.1908875647772805
Mongolia,2019.0,74.0,MNG,3.29,1.0,4.30406509320417,1.1908875647772805
Mongolia,2019.0,60.0,MNG,3.29,0.0,4.0943445622221,1.1908875647772805
Myanmar,2019.0,18.08,MMR,9.39,0.0,2.89480635496403,2.2396452932201716
Nepal,2010.0,49.11,NPL,0.76,3.0,3.894062680051153,-0.2744368457017603
Nepal,2019.0,42.0,NPL,0.55,3.0,3.7376696182833684,-0.5978370007556204
Nepal,2019.0,39.28,NPL,0.55,2.0,3.670715483486265,-0.5978370007556204
Nepal,2019.0,49.019999999999996,NPL,0.55,1.0,3.8922283780999662,-0.5978370007556204
Nepal,2019.0,26.095454545454547,NPL,0.55,0.0,3.261761143815275,-0.5978370007556204
Nepal,2020.0,36.585,NPL,7.94,0.0,3.5996383203359934,2.0719132752590443
Netherlands,2010.0,16.920526315789473,NLD,0.06,0.0,2.828527459828421,-2.8134107167600364
Netherlands,2010.0,14.3271875,NLD,0.06,3.0,2.6621589560036543,-2.8134107167600364
Netherlands,2019.0,10.841612903225805,NLD,0.21,3.0,2.3833917767535953,-1.5606477482646683
Netherlands,2019.0,11.092058823529412,NLD,0.21,2.0,2.406229430978688,-1.5606477482646683
Netherlands,2019.0,12.340625,NLD,0.21,1.0,2.5128966654928773,-1.5606477482646683
Netherlands,2019.0,10.91125,NLD,0.21,0.0,2.3897943670674224,-1.5606477482646683
New Zealand,2010.0,10.655,NZL,0.03,2.0,2.3660292655505804,-3.506557897319982
New Zealand,2019.0,8.94357142857143,NZL,0.02,3.0,2.1909349980655977,-3.912023005428146
New Zealand,2019.0,11.382222222222222,NZL,0.02,2.0,2.432052683995105,-3.912023005428146
Nigeria,2010.0,27.43,NGA,5.89,0.0,3.311637304949512,1.7732559976634952
North Macedonia,2010.0,44.5,MKD,0.19,3.0,3.7954891891721947,-1.6607312068216509
North Macedonia,2019.0,40.18,MKD,0.16,3.0,3.6933693593867885,-1.8325814637483102
North Macedonia,2019.0,43.48,MKD,0.16,2.0,3.7723010622530087,-1.8325814637483102
Pakistan,2010.0,95.33333333333333,PAK,0.97,0.0,4.557379522151743,-0.030459207484708574
Pakistan,2010.0,66.1,PAK,0.97,1.0,4.191168746857641,-0.030459207484708574
Pakistan,2010.0,36.5,PAK,0.97,3.0,3.597312260588446,-0.030459207484708574
Pakistan,2019.0,37.83,PAK,0.83,1.0,3.6331024386449378,-0.18632957819149348
Pakistan,2019.0,71.855,PAK,0.83,0.0,4.27465019952621,-0.18632957819149348
Pakistan,2020.0,32.29,PAK,33.02,0.0,3.4747575847701837,3.497113438491982
Panama,2010.0,14.0,PAN,0.43,3.0,2.6390573296152584,-0.843970070294529
Paraguay,2010.0,18.4,PRY,0.8,0.0,2.91235066461494,-0.2231435513142097
Peru,2010.0,30.57,PER,0.46,0.0,3.420019135902743,-0.7765287894989963
Peru,2010.0,36.0625,PER,0.46,1.0,3.585253544268318,-0.7765287894989963
