iso3,country,ln_yll,ln_pm25
DNK,Denmark,-1.2039728043259361,2.7138113515372817
DNK,Denmark,-1.2039728043259361,2.403561010334048
DNK,Denmark,-0.06187540371808753,2.331172549845958
DNK,Denmark,-0.06187540371808753,2.241347783522856
DNK,Denmark,-0.06187540371808753,2.5032376064727235
DNK,Denmark,-0.06187540371808753,2.3264969130403585
ECU,Ecuador,-0.7550225842780328,2.958549482426275
ECU,Ecuador,-0.7550225842780328,2.8803214220426634
ECU,Ecuador,-0.7550225842780328,2.9139797716817317
ECU,Ecuador,-0.7550225842780328,2.915064370486536
ECU,Ecuador,0.62057648772511,2.644044871126298
ECU,Ecuador,0.62057648772511,2.6401281846167515
ECU,Ecuador,0.62057648772511,2.987700101856727
SLV,El Salvador,-1.7719568419318752,3.392829131991639
SLV,El Salvador,-1.7719568419318752,3.505557396986398
SLV,El Salvador,-1.7719568419318752,3.7977338590260183
SLV,El Salvador,-1.7719568419318752,3.7819143200811256
SLV,El Salvador,-1.3862943611198906,3.299533727885655
SLV,El Salvador,-1.3862943611198906,3.367295829986474
EST,Estonia,-0.527632742082372,2.044677549243496
EST,Estonia,-0.527632742082372,1.8939721785951504
EST,Estonia,-0.7985076962177716,1.6494824619651591
EST,Estonia,-0.7985076962177716,1.5151272329628591
EST,Estonia,-0.7985076962177716,1.8075859481445953
EST,Estonia,-0.7985076962177716,1.5255126774963392
ETH,Ethiopia,1.7439688053917064,3.342861804649192
ETH,Ethiopia,1.7439688053917064,3.3046864812813115
ETH,Ethiopia,1.7439688053917064,3.3600281046240843
ETH,Ethiopia,1.7439688053917064,3.019448800171307
FIN,Finland,-1.6607312068216509,2.143491662319298
FIN,Finland,-1.6607312068216509,1.8574991917112602
FIN,Finland,-0.4155154439616658,1.7452167775991023
FIN,Finland,-0.4155154439616658,1.5069304657586804
FIN,Finland,-0.4155154439616658,1.7945760118658314
FIN,Finland,-0.4155154439616658,1.6692779127901174
FRA,France,-3.2188758248682006,2.876189167154163
FRA,France,-2.0402208285265546,2.4487236369882375
FRA,France,-2.0402208285265546,2.3949090001395534
FRA,France,-2.0402208285265546,2.3392656003060557
FRA,France,-2.0402208285265546,2.242639927794675
GEO,Georgia,0.9400072584914712,2.995732273553991
DEU,Germany,-2.659260036932778,2.853363321422232
DEU,Germany,-2.659260036932778,2.6469357804548266
DEU,Germany,-1.2729656758128873,2.5013154044543926
DEU,Germany,-1.2729656758128873,2.491414165534979
DEU,Germany,-1.2729656758128873,2.532071154664775
