Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Lithuania,"42,786.66","42,786.66","44,433.21","25,627.35","18,546.49","17,642.67","17,884.82","24,403.35","22,736.13","16,038.36","13,909.37","10,013.65","12,956.86","14,269.07","15,198.97","16,545.33","18,286.99","19,029.31","19,198.76","17,583.63","12,565.93","10,376.21","10,540.59","10,893.68","10,373.87","11,071.61","12,201.64","13,084.87","13,793.28","14,430.51","14,361.95","13,529.66","14,160.62",-66.90%
Luxembourg,"12,731.40","12,731.40","13,294.37","12,653.77","12,690.13","12,004.20","9,555.88","9,583.10","8,850.40","8,052.45","8,446.53","9,020.25","9,543.89","10,332.28","10,803.45","12,131.47","12,427.87","12,339.50","11,843.55","11,715.52","11,161.11","11,953.65","11,742.31","11,435.98","10,767.47","10,362.84","9,944.67","9,609.50","9,880.30","10,322.12","10,376.40","8,582.25","8,785.38",-30.99%
Malta,"2,618.43","2,618.43","2,471.84","2,508.07","3,110.94","2,889.61","2,687.06","2,777.77","2,809.23","2,783.63","2,840.26","2,744.77","3,023.58","3,068.10","3,290.34","3,175.78","2,997.17","3,050.55","3,138.38","3,031.90","2,896.69","2,973.53","2,959.09","3,124.49","2,797.55","2,803.03","2,125.35","1,843.16","2,029.44","2,038.21","2,155.64","2,120.14","2,134.26",-18.49%
Monaco,102.35,102.35,103.20,108.84,107.99,108.69,105.32,109.11,107.74,106.84,108.05,106.19,106.63,107.02,104.01,98.83,97.66,93.25,93.03,93.72,90.06,87.68,86.21,89.06,91.05,85.13,88.26,86.37,83.27,86.60,83.06,69.69,73.56,-28.13%
Netherlands,"228,018.17","228,018.17","236,001.41","236,403.31","236,784.11","237,521.36","237,390.53","247,673.56","239,230.78","239,448.19","226,880.74","225,149.49","226,357.72","223,981.65","225,042.48","226,355.60","220,426.49","215,280.66","213,475.91","213,345.39","207,646.02","219,332.04","205,574.61","201,546.72","200,775.33","192,501.91","199,424.24","199,767.89","196,083.74","190,941.65","185,112.76","168,510.17","171,466.18",-24.80%
New Zealand,"44,548.84","44,548.84","43,527.64","44,820.26","43,758.42","44,948.78","46,565.65","48,991.24","51,073.06","48,180.74","47,148.68","48,061.49","50,399.57","51,726.18","52,740.60","52,635.35","56,452.72","58,518.86","58,057.75","49,977.04","48,418.28","48,102.81","47,614.07","52,539.63","52,218.75","52,788.79","52,640.78","50,844.74","54,027.34","54,689.52","56,068.10","54,088.62","55,746.42",25.14%
Norway,"40,883.89","40,883.89","36,723.41","35,680.32","36,041.53","40,018.72","36,104.42","39,740.47","40,792.11","38,359.54","37,681.89","35,387.53","34,683.64","32,514.11","31,688.98","32,471.00","34,131.98","32,230.01","33,802.51","31,069.89","25,300.09","31,090.79","28,829.27","31,968.21","31,674.20","35,700.81","40,980.48","40,127.31","40,229.70","39,420.93","35,669.36","30,041.96","33,404.67",-18.29%
Poland,"560,075.31","446,060.66","441,751.84","450,651.08","443,017.43","437,353.13","429,014.94","425,255.71","414,994.30","378,656.79","369,592.35","359,423.62","365,717.12","346,813.41","358,068.47","352,111.58","352,690.17","373,234.85","379,416.67","373,024.32","355,077.29","374,274.66","367,381.60","359,101.30","352,920.38","347,583.59","354,251.87","357,919.51","371,614.38","372,255.68","368,091.86","352,354.58","379,343.77",-32.27%
Portugal,"66,611.14","66,611.14","59,166.30","56,375.84","54,052.77","55,826.38","59,114.93","57,954.77","60,102.80","65,350.53","72,965.48","80,373.56","73,598.52","78,480.37","86,228.90","80,133.80","89,978.51","79,712.30","75,826.31","67,438.69","63,449.45","62,968.71","65,011.79","64,891.97","64,139.14","58,925.99","64,396.21","67,402.56","92,875.88","64,268.07","59,616.97","53,322.22","50,338.36",-24.43%
Romania,"288,015.95","228,533.25","181,336.94","164,348.05","152,519.76","150,375.32","157,619.66","161,462.80","154,194.26","134,874.03","117,377.47","109,316.17","112,096.41","116,089.23","121,375.88","119,850.23","117,832.73","119,247.88","121,991.56","118,476.94","99,863.39","89,434.38","95,363.40","90,781.77","78,752.75","67,009.77","66,802.03","62,748.75","67,825.97","71,029.08","67,540.15","61,629.28","66,144.73",-77.03%
